score_bin,images,mean_predicted_score,actual_hazard_rate
"(-0.001, 0.1]",106,0.039327086065895855,0.29245283018867924
"(0.1, 0.2]",71,0.14888859907506216,0.39436619718309857
"(0.2, 0.3]",62,0.25033934630693927,0.6935483870967742
"(0.3, 0.4]",62,0.35921536049535197,0.6774193548387096
"(0.4, 0.5]",73,0.45307629239069275,0.8082191780821918
"(0.5, 0.6]",102,0.5515471521545859,0.8627450980392157
"(0.6, 0.7]",101,0.6509899479327815,0.8514851485148515
"(0.7, 0.8]",168,0.7565326782919112,0.9107142857142857
"(0.8, 0.9]",117,0.841104004627619,0.9487179487179487
"(0.9, 1.0]",10,0.9150012850761413,0.9
